,product_code,ï..year,import_num_plants,export_num_plants,cog,export_rca,rca_binario,export_value,density,import_value,pci,eci,coi,location_name,location_code,product_name,product_name_es.x,ï..product_name,product_name_es.y,color,Medium,type_medium,ORIGINAL.NAME,HS6,NUM,ZPCI_2013,GCI_2013,GP_SINVCR,GCP_2013
148202,3802,2013,72,0,0.6313,0,0,0,0.0476,802602.75,-0.3433,1.3141,59.8434,Aguascalientes,1,"Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.","Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.",green,WAT,Waste water management and potable water treatment.,ACTIVATED,380210,1,-0.630460054,0,1,-0.030009899
148213,3802,2013,435,232,0.5309,0.1722,0,937935.5625,0.1423,2525479,-0.3433,1.1979,142.5164,Baja California,2,"Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.","Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.",green,WAT,Waste water management and potable water treatment.,ACTIVATED,380210,1,-0.630460054,0,1,-0.089714466
148224,3802,2013,7,0,0.7131,0,0,0,0.0341,12682.626,-0.3433,-0.6364,22.3928,Baja California Sur,3,"Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.","Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.",green,WAT,Waste water management and potable water treatment.,ACTIVATED,380210,1,-0.630460054,0,1,-0.021498688
148235,3802,2013,3,0,0.6897,0,0,0,0.0079,9655.2559,-0.3433,-1.4244,2.3387,Campeche,4,"Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.","Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.",green,WAT,Waste water management and potable water treatment.,ACTIVATED,380210,1,-0.630460054,0,1,-0.004980634
148246,3802,2013,110,0,0.6158,0,0,0,0.081,675799.5625,-0.3433,1.0754,100.8015,Coahuila,5,"Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.","Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.",green,WAT,Waste water management and potable water treatment.,ACTIVATED,380210,1,-0.630460054,0,1,-0.051067264
148257,3802,2013,135,233,0,29.4982,1,2067714.5,0.0366,177131.0156,-0.3433,-0.8599,20.8588,Colima,6,"Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.","Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.",green,WAT,Waste water management and potable water treatment.,ACTIVATED,380210,1,-0.630460054,-0.630460054,0,0
148268,3802,2013,8,0,0.7189,0,0,0,0.0241,24554.8164,-0.3433,-0.9691,14.6516,Chiapas,7,"Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.","Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.",green,WAT,Waste water management and potable water treatment.,ACTIVATED,380210,1,-0.630460054,0,1,-0.015194087
148279,3802,2013,349,0,0.5682,0,0,0,0.0938,13155241,-0.3433,1.2831,101.4566,Chihuahua,8,"Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.","Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.",green,WAT,Waste water management and potable water treatment.,ACTIVATED,380210,1,-0.630460054,0,1,-0.059137153
148290,3802,2013,695,42,0.5608,0.1871,0,588594.125,0.1205,8553304,-0.3433,1.0909,118.2825,Distrito Federal,9,"Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.","Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.",green,WAT,Waste water management and potable water treatment.,ACTIVATED,380210,1,-0.630460054,0,1,-0.075970436
148301,3802,2013,3,0,0.6905,0,0,0,0.0502,8488.1816,-0.3433,0.1978,53.5836,Durango,10,"Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.","Activated carbon; activated natural mineral products; animal black, including spent animal black","CarbÃ³n activado; materias minerales naturales activadas; negro de origen animal, incluido el agotado.",green,WAT,Waste water management and potable water treatment.,ACTIVATED,380210,1,-0.630460054,0,1,-0.031649095
