"","location_name","suma_GCI_2013","suma_GP_SINVCR","suma_GCP_2013","count"
"1","Aguascalientes",16.138597294,91,2.978839412,106
"2","Baja California",25.690428397,75,6.343573399,106
"3","Baja California Sur",2.742008059,101,1.579680552,106
"4","Campeche",-0.216901816,105,0.279504197,106
"5","Chiapas",1.220827774,103,1.11953138,106
"6","Chihuahua",17.908568541,83,5.194329875,106
"7","Coahuila",18.631040865,79,5.216405818,106
"8","Colima",-2.341196472,101,1.759352799,106
"9","Distrito Federal",6.239498243,97,7.267288267,106
"10","Durango",8.3361356,93,3.259119971,106
"11","Guanajuato",7.630113602,95,5.329006383,106
"12","Guerrero",-1.787952813,104,1.545699005,106
"13","Hidalgo",3.861358747,97,3.256275036,106
"14","Jalisco",6.899408209,93,5.82454433,106
"15","Mexico",13.30950026,88,8.753184523,106
"16","Michoacan",1.390681625,101,3.139578292,106
"17","Morelos",7.47474488,98,3.447473165,106
"18","Nayarit",1.082244384,102,1.370097499,106
"19","Nuevo Leon",34.426059817,62,5.922621938,106
"20","Oaxaca",1.184747923,103,1.133142472,106
"21","Puebla",5.939502178,100,3.914515464,106
"22","Queretaro",9.793059873,91,5.879904248,106
"23","Quintana Roo",4.697393244,96,3.790472104,106
"24","San Luis Potosi",19.38904062,76,4.760273977,106
"25","Sinaloa",1.549344315,103,2.63805369,106
"26","Sonora",13.429939671,91,5.33691604,106
"27","Tabasco",0.897211143,105,0.228147838,106
"28","Tamaulipas",28.826286778,70,5.846803844,106
"29","Tlaxcala",6.286808452,92,4.751939777,106
"30","Veracruz",2.615769183,98,3.821301232,106
"31","Yucatan",2.271985548,96,3.32392787,106
"32","Zacatecas",4.096338276,99,2.433747712,106
