"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Argentina","Americas",1952,62.485,17876956,5911.315053
"2","Argentina","Americas",1957,64.399,19610538,6856.856212
"3","Argentina","Americas",1962,65.142,21283783,7133.166023
"4","Argentina","Americas",1967,65.634,22934225,8052.953021
"5","Argentina","Americas",1972,67.065,24779799,9443.038526
"6","Argentina","Americas",1977,68.481,26983828,10079.02674
"7","Argentina","Americas",1982,69.942,29341374,8997.897412
"8","Argentina","Americas",1987,70.774,31620918,9139.671389
"9","Argentina","Americas",1992,71.868,33958947,9308.41871
"10","Argentina","Americas",1997,73.275,36203463,10967.28195
"11","Argentina","Americas",2002,74.34,38331121,8797.640716
"12","Argentina","Americas",2007,75.32,40301927,12779.37964
"13","Bolivia","Americas",1952,40.414,2883315,2677.326347
"14","Bolivia","Americas",1957,41.89,3211738,2127.686326
"15","Bolivia","Americas",1962,43.428,3593918,2180.972546
"16","Bolivia","Americas",1967,45.032,4040665,2586.886053
"17","Bolivia","Americas",1972,46.714,4565872,2980.331339
"18","Bolivia","Americas",1977,50.023,5079716,3548.097832
"19","Bolivia","Americas",1982,53.859,5642224,3156.510452
"20","Bolivia","Americas",1987,57.251,6156369,2753.69149
"21","Bolivia","Americas",1992,59.957,6893451,2961.699694
"22","Bolivia","Americas",1997,62.05,7693188,3326.143191
"23","Bolivia","Americas",2002,63.883,8445134,3413.26269
"24","Bolivia","Americas",2007,65.554,9119152,3822.137084
"25","Brazil","Americas",1952,50.917,56602560,2108.944355
"26","Brazil","Americas",1957,53.285,65551171,2487.365989
"27","Brazil","Americas",1962,55.665,76039390,3336.585802
"28","Brazil","Americas",1967,57.632,88049823,3429.864357
"29","Brazil","Americas",1972,59.504,100840058,4985.711467
"30","Brazil","Americas",1977,61.489,114313951,6660.118654
"31","Brazil","Americas",1982,63.336,128962939,7030.835878
"32","Brazil","Americas",1987,65.205,142938076,7807.095818
"33","Brazil","Americas",1992,67.057,155975974,6950.283021
"34","Brazil","Americas",1997,69.388,168546719,7957.980824
"35","Brazil","Americas",2002,71.006,179914212,8131.212843
"36","Brazil","Americas",2007,72.39,190010647,9065.800825
"37","Chile","Americas",1952,54.745,6377619,3939.978789
"38","Chile","Americas",1957,56.074,7048426,4315.622723
"39","Chile","Americas",1962,57.924,7961258,4519.094331
"40","Chile","Americas",1967,60.523,8858908,5106.654313
"41","Chile","Americas",1972,63.441,9717524,5494.024437
"42","Chile","Americas",1977,67.052,10599793,4756.763836
"43","Chile","Americas",1982,70.565,11487112,5095.665738
"44","Chile","Americas",1987,72.492,12463354,5547.063754
"45","Chile","Americas",1992,74.126,13572994,7596.125964
"46","Chile","Americas",1997,75.816,14599929,10118.05318
"47","Chile","Americas",2002,77.86,15497046,10778.78385
"48","Chile","Americas",2007,78.553,16284741,13171.63885
"49","Colombia","Americas",1952,50.643,12350771,2144.115096
"50","Colombia","Americas",1957,55.118,14485993,2323.805581
"51","Colombia","Americas",1962,57.863,17009885,2492.351109
"52","Colombia","Americas",1967,59.963,19764027,2678.729839
"53","Colombia","Americas",1972,61.623,22542890,3264.660041
"54","Colombia","Americas",1977,63.837,25094412,3815.80787
"55","Colombia","Americas",1982,66.653,27764644,4397.575659
"56","Colombia","Americas",1987,67.768,30964245,4903.2191
"57","Colombia","Americas",1992,68.421,34202721,5444.648617
"58","Colombia","Americas",1997,70.313,37657830,6117.361746
"59","Colombia","Americas",2002,71.682,41008227,5755.259962
"60","Colombia","Americas",2007,72.889,44227550,7006.580419
"61","Costa Rica","Americas",1952,57.206,926317,2627.009471
"62","Costa Rica","Americas",1957,60.026,1112300,2990.010802
"63","Costa Rica","Americas",1962,62.842,1345187,3460.937025
"64","Costa Rica","Americas",1967,65.424,1588717,4161.727834
"65","Costa Rica","Americas",1972,67.849,1834796,5118.146939
"66","Costa Rica","Americas",1977,70.75,2108457,5926.876967
